fre_id,eng_id,fre_docname,eng_docname
001-207014,001-206897,SLOVÉNIE c. CROATIE,SLOVENIA v. CROATIA
001-222891,001-222889,UKRAINE ET PAYS-BAS c. RUSSIE,UKRAINE AND THE NETHERLANDS v. RUSSIA
001-207626,001-207622,UKRAINE c. RUSSIE (CRIMÉE),UKRAINE v. RUSSIA (RE CRIMEA)
001-92366,001-141152,AFFAIRE STEPHENS c. MALTE (N° 1),CASE OF STEPHENS v. MALTA  (No. 1)
001-173457,001-186258,AFFAIRE VASILICIUC c. RÉPUBLIQUE DE MOLDOVA,CASE OF VASILICIUC AGAINST THE REPUBLIC OF MOLDOVA
001-207810,001-208054,AFFAIRE VERONICA CIOBANU c. RÉPUBLIQUE DE MOLDOVA,CASE OF VERONICA CIOBANU v. THE REPUBLIC OF MOLDOVA
001-75063,001-49227,CHYPRE c. TURQUIE,CYPRUS AGAINST TURKEY
001-201354,001-201353,AFFAIRE N.D. ET N.T. c. ESPAGNE,CASE OF N.D. AND N.T. v. SPAIN
001-202457,001-202468,M.N. ET AUTRES c. BELGIQUE,M.N. AND OTHERS v. BELGIUM
001-43151,001-22099,BANKOVIĆ ET AUTRES c. BELGIQUE ET AUTRES,BANKOVIĆ AND OTHERS v. BELGIUM AND OTHERS
001-114222,001-204664,AFFAIRE CATAN ET AUTRES c. RÉPUBLIQUE DE MOLDOVA ET RUSSIE,CASE OF CATAN AND OTHERS AGAINST THE REPUBLIC OF MOLDOVA AND RUSSIA AND 1 OTHER CASE
001-44291,001-78623,MARKOVIC et AUTRES contre l'ITALIE,CASE OF MARKOVIC AND OTHERS v. ITALY
001-66255,001-61875,AFFAIRE ASSANIDZÉ c. GÉORGIE,CASE OF ASSANIDZE v. GEORGIA
001-105607,001-168350,AFFAIRE AL-SKEINI ET AUTRES c. ROYAUME-UNI,CASE OF AL-SKEINI AND OTHERS AGAINST THE UNITED KINGDOM
001-103604,001-77008,QUARK FISHING LTD. c. ROYAUME-UNI,QUARK FISHING LTD. v. THE UNITED KINGDOM
001-189635,001-113074,AFFAIRE GÜZELYURTLU ET AUTRES c. CHYPRE ET TURQUIE,GUZELYURTLU AND OTHERS v. CYPRUS AND TURKEY
001-208318,001-208279,AFFAIRE HANAN c. ALLEMAGNE,CASE OF HANAN v. GERMANY
001-96623,001-172518,AFFAIRE RANTSEV c. CHYPRE ET RUSSIE [Extraits],CASE OF RANTSEV AGAINST CYPRUS AND RUSSIA
001-219335,001-219333,AFFAIRE H.F. ET AUTRES c. FRANCE,CASE OF H.F. AND OTHERS v. FRANCE
001-194320,001-229897,AFFAIRE ROMEO CASTAÑO c. BELGIQUE,CASE OF ROMEO CASTAÑO AGAINST BELGIUM
001-223607,001-223361,AFFAIRE MAMASAKHLISI ET AUTRES c. GÉORGIE ET RUSSIE,CASE OF MAMASAKHLISI AND OTHERS v. GEORGIA AND RUSSIA
001-97988,001-145055,AFFAIRE MEDVEDYEV ET AUTRES c. FRANCE,CASE OF MEDVEDYEV AND OTHERS AGAINST FRANCE
001-155656,001-108383,AFFAIRE CHIRAGOV ET AUTRES c. ARMÉNIE,CHIRAGOV AND OTHERS v. ARMENIA
001-207758,001-207757,AFFAIRE GÉORGIE c. RUSSIE (II),CASE OF GEORGIA v. RUSSIA (II)
001-212194,NaN,AARRASS c. BELGIQUE,NaN
001-209211,NaN,BRANDÃO FREITAS LOBATO c. PORTUGAL,NaN
001-65008,001-60454,"AFFAIRE GENTILHOMME, SCHAFF-BENHADJI ET ZEROUKI c. FRANCE","CASE OF GENTILHOMME, SCHAZFF-BENHADJI AND ZEROUKI v. FRANCE"
001-225736,001-225440,AFFAIRE BRYAN ET AUTRES c. RUSSIE,CASE OF BRYAN AND OTHERS v. RUSSIA
001-62474,001-220584,AFFAIRE LOIZIDOU c. TURQUIE (EXCEPTIONS PRÉLIMINAIRES),CASE OF LOIZIDOU AGAINST TURKEY
001-62566,001-220584,AFFAIRE LOIZIDOU c. TURQUIE,CASE OF LOIZIDOU AGAINST TURKEY
001-64012,001-212454,AFFAIRE CHYPRE c. TURQUIE,CASE OF CYPRUS AGAINST TURKEY
001-155725,001-155662,AFFAIRE SARGSYAN c. AZERBAÏDJAN,CASE OF SARGSYAN v. AZERBAIJAN
001-161263,001-145069,AFFAIRE MOZER c. RÉPUBLIQUE DE MOLDOVA ET RUSSIE,MOZER v. THE REPUBLIC OF MOLDOVA AND RUSSIA
001-92899,NaN,GASPARINI c. ITALIE ET BELGIQUE,NaN
001-90864,NaN,CONNOLLY c. 15 ETATS MEMBRES DE L'UNION EUROPEENNE,NaN
001-93341,NaN,BEYGO c. 46 ETATS MEMBRES DU CONSEIL DE L'EUROPE,NaN
001-93839,NaN,LOPEZ CIFUENTES c. ESPAGNE,NaN
001-63140,001-192162,AFFAIRE TIMURTAS c. TURQUIE,CASE OF A. AND OTHERS AGAINST TURKEY AND 204 OTHER CASES
001-68602,001-192162,AFFAIRE AKKUM ET AUTRES c. TURQUIE [Extraits],CASE OF A. AND OTHERS AGAINST TURKEY AND 204 OTHER CASES
001-115622,001-199619,AFFAIRE EL-MASRI c. « L'EX-RÉPUBLIQUE YOUGOSLAVE DE MACÉDOINE »,CASE OF EL-MASRI AGAINST NORTH MACEDONIA
001-66444,001-61886,AFFAIRE ILAŞCU ET AUTRES c. MOLDOVA ET RUSSIE,CASE OF ILAŞCU AND OTHERS v. MOLDOVA AND RUSSIA
001-103591,001-103722,AFFAIRE SOARE ET AUTRES c. ROUMANIE,CASE OF SOARE AND OTHERS v. ROMANIA
001-105118,001-105155,AFFAIRE TRÉVALEC c. BELGIQUE,CASE OF TRÉVALEC v. BELGIUM
001-114078,001-179334,AFFAIRE YOTOVA c. BULGARIE,CASE OF ANGELOVA AND ILIEV AGAINST BULGARIA AND 7 OTHER CASES
001-95926,001-182337,AFFAIRE G.N. ET AUTRES c. ITALIE,CASE OF G.N. AND OTHERS AGAINST ITALY
001-160257,001-160729,AFFAIRE CAVİT TINARLIOĞLU c. TURQUIE,CASE OF CAVİT TINARLIOĞLU v. TURKEY
001-201867,001-202240,AFFAIRE MARIUS ALEXANDRU ET MARINELA ȘTEFAN c. ROUMANIE,CASE OF MARIUS ALEXANDRU AND MARINELA ȘTEFAN v. ROMANIA
001-202125,001-202316,AFFAIRE JEANTY c. BELGIQUE,CASE OF JEANTY v. BELGIUM
001-43930,001-60010,"LERAY, GUILCHER, AMEON, MARGUE et MAD contre la FRANCE",CASE OF LERAY AND OTHERS v. FRANCE
001-96252,001-96298,AFFAIRE KALENDER c. TURQUIE,CASE OF KALENDER v. TURKEY
001-75350,001-75351,AFFAIRE PEREIRA HENRIQUES c. LUXEMBOURG,CASE OF PEREIRA HENRIQUES v. LUXEMBOURG
001-120956,001-122053,AFFAIRE NENCHEVA ET AUTRES c. BULGARIE,CASE OF NENCHEVA AND OTHERS v. BULGARIA
001-78458,001-106965,AFFAIRE PAŞA ET ERKAN EROL c. TURQUIE,CASE OF PASA AND ERKAN EROL AGAINST TURKEY
001-140390,001-140944,AFFAIRE ORUK c. TURQUIE,CASE OF ORUK v. TURKEY
001-218457,001-218512,AFFAIRE SAFI ET AUTRES c. GRÈCE,CASE OF SAFI AND OTHERS v. GREECE
001-94259,NaN,MOLIE c. ROUMANIE,NaN
001-108625,001-108626,AFFAIRE CHOREFTAKIS ET CHOREFTAKI c. GRECE,CASE OF CHOREFTAKIS AND CHOREFTAKI v. GREECE
001-128041,001-138498,AFFAIRE YABANSU ET AUTRES c. TURQUIE,CASE OF YABANSU AND OTHERS v. TURKEY
001-216854,001-216951,AFFAIRE LANDI c. ITALIE,CASE OF LANDI v. ITALY
001-203590,001-216893,AFFAIRE S.F. c. SUISSE,CASE OF S.F. AGAINST SWITZERLAND
001-70631,001-192162,AFFAIRE AKDOĞDU c. TURQUIE,CASE OF A. AND OTHERS AGAINST TURKEY AND 204 OTHER CASES
001-107737,001-178317,AFFAIRE DE DONDER ET DE CLIPPEL c. BELGIQUE,CASE OF DE DONDER AND DE CLIPPEL AGAINST BELGIUM
001-112285,001-112320,AFFAIRE KETREB c. FRANCE,CASE OF KETREB v. FRANCE
001-69269,001-69270,AFFAIRE KILINÇ ET AUTRES c. TURQUIE,CASE OF KILINÇ AND OTHERS v. TURKEY
001-75206,001-75207,AFFAIRE ATAMAN c. TURQUIE,CASE OF ATAMAN v. TURKEY
001-166481,001-205889,AFFAIRE AYDOĞDU c. TURQUIE,CASE OF KANAL AGAINST TURKEY AND 9 OTHER CASES
001-155710,001-214827,AFFAIRE ALTUĞ ET AUTRES c. TURQUIE,CASE OF OYAL AGAINST TURKEY AND 9 OTHER CASES
001-70556,001-164152,GHEORGHE c. ROUMANIE,CASE OF NICOLAU AND 79 OTHER CASES AGAINST ROMANIA
001-225020,001-225308,AFFAIRE PITSILADI ET VASILELLIS c. GRÈCE,CASE OF PITSILADI AND VASILELLIS v. GREECE
001-177297,001-230844,AFFAIRE BİNNUR UZUN ET AUTRES c. TURQUIE,CASE OF BINNUR UZUN AND OTHERS AGAINST TURKEY
001-44379,001-75351,PEREIRA HENRIQUES et AUTRES contre le LUXEMBOURG,CASE OF PEREIRA HENRIQUES v. LUXEMBOURG
001-200348,001-200478,AFFAIRE SOARES CAMPOS c. PORTUGAL,CASE OF SOARES CAMPOS v. PORTUGAL
001-219559,001-219988,AFFAIRE MORTIER c. BELGIQUE,CASE OF MORTIER v. BELGIUM
001-66855,001-66856,AFFAIRE BARBU ANGHELESCU c. ROUMANIE,CASE OF BARBU ANGHELESCU v. ROMANIA
001-85251,001-192162,AFFAIRE MANSUROĞLU c. TURQUIE,CASE OF A. AND OTHERS AGAINST TURKEY AND 204 OTHER CASES
001-80977,001-181041,AFFAIRE BAKAN c. TURQUIE,CASE OF BAKAN AGAINST TURKEY AND 21 OTHER CASES
001-89247,001-199592,AFFAIRE EVRİM ÖKTEM c. TURQUIE,CASE OF EĞİTİM VE BİLİM EMEKÇİLERİ SENDİKASI AND OTHERS AGAINST TURKEY AND 2 OTHER CASES
001-72912,001-192162,AFFAIRE PERK ET AUTRES c. TURQUIE,CASE OF A. AND OTHERS AGAINST TURKEY AND 204 OTHER CASES
001-186623,001-192657,MENDY c. FRANCE,MENDY v. FRANCE
001-72322,001-108324,AFFAIRE SCAVUZZO-HAGER ET AUTRES c. SUISSE,CASE OF SCAVUZZO-HAGER AND OTHERS AGAINST SWITZERLAND
001-82583,001-159685,AFFAIRE SAOUD c. FRANCE,CASE OF SAOUD AGAINST FRANCE
001-178690,001-229950,AFFAIRE BOUKROUROU ET AUTRES c. FRANCE,CASE OF BOUKROUROU AND OTHERS AGAINST FRANCE AND 2 OTHER CASES
001-217879,001-217880,AFFAIRE KUTSAROVI c. BULGARIE,CASE OF KUTSAROVI v. BULGARIA
001-67289,001-67290,AFFAIRE SEYHAN c. TURQUIE,CASE OF SEYHAN v. TURKEY
001-67266,001-228959,AFFAIRE ZENGİN c. TURQUIE,CASE OF ZENGİN AGAINST TURKEY
001-216183,001-216467,AFFAIRE GONÇALVES MONTEIRO c. PORTUGAL,CASE OF GONÇALVES MONTEIRO v. PORTUGAL
001-216574,001-200276,TUNÇ c. TURQUIE,TUNÇ v. TURKEY
001-96250,001-96266,AFFAIRE MAIORANO ET AUTRES c. ITALIE,CASE OF MAIORANO AND OTHERS v. ITALY
001-96027,001-97923,AFFAIRE ŞANDRU ET AUTRES c. ROUMANIE,CASE OF ŞANDRU AND OTHERS v. ROMANIA
001-90222,001-181972,AFFAIRE RUPA c. ROUMANIE (N° 1),CASE OF ALI AGAINST ROMANIA AND 120 OTHER CASES
001-72006,001-72007,AFFAIRE BAYRAK ET AUTRES c. TURQUIE,CASE OF BAYRAK AND OTHERS v. TURKEY
001-202324,NaN,WARESIAK c. POLOGNE,NaN
001-203808,001-204084,AFFAIRE VANYO TODOROV c. BULGARIE,CASE OF VANYO TODOROV v. BULGARIA
001-63271,001-192162,AFFAIRE SALMAN c. TURQUIE,CASE OF A. AND OTHERS AGAINST TURKEY AND 204 OTHER CASES
001-62660,001-192162,AFFAIRE AYDIN c. TURQUIE,CASE OF A. AND OTHERS AGAINST TURKEY AND 204 OTHER CASES
001-108586,001-212435,AFFAIRE ZONTUL c. GRECE,CASE OF MAKARATZIS AGAINST GREECE AND 12 OTHER CASES
001-66364,001-212456,AFFAIRE BATI ET AUTRES c. TURQUIE,CASE OF BATI AND OTHERS AGAINST TURKEY AND 10 OTHER CASES
001-79644,001-99669,AFFAIRE ERKAN ORHAN c. TURQUIE,CASE OF ARSLAN AND 22 OTHER CASES AGAINST TURKEY
001-126452,001-112382,AFFAIRE DEMBELE c. SUISSE,DEMBELE v. SWITZERLAND
001-208307,001-208329,AFFAIRE P.M. ET F.F. c. FRANCE,CASE OF P.M. AND F.F. v. FRANCE
001-210478,001-210530,AFFAIRE ILIEVI ET GANCHEVI c. BULGARIE,CASE OF ILIEVI AND GANCHEVI v. BULGARIA
001-85316,001-213846,AFFAIRE TAŞTAN c. TURQUIE,CASE OF TAŞTAN AGAINST TURKEY
001-192611,001-203713,AFFAIRE TARAK ET DEPE c. TURQUIE,CASE OF TARAK AND DEPE AGAINST TURKEY
001-224563,001-224805,AFFAIRE HORION c. BELGIQUE,CASE OF HORION v. BELGIUM
001-66182,001-61626,AFFAIRE NAOUMENKO c. UKRAINE,CASE OF NAUMENKO v. UKRAINE
001-147688,001-148090,AFFAIRE DVOŘÁČEK c. RÉPUBLIQUE TCHÈQUE,CASE OF DVOŘÁČEK v. THE CZECH REPUBLIC
001-200842,001-201342,AFFAIRE BUTURUGĂ c. ROUMANIE,CASE OF BUTURUGĂ v. ROMANIA
001-67028,001-164150,AFFAIRE BURSUC c. ROUMANIE,CASE OF BARBU ANGHELESCU (No. 1) AND 35 OTHER CASES AGAINST ROMANIA 
001-64280,001-59724,AFFAIRE INDELICATO c. ITALIE,CASE OF INDELICATO v. ITALY
001-218130,001-218511,AFFAIRE M.S. c. ITALIE,CASE OF M.S. v. ITALY
001-209077,001-209373,AFFAIRE E.G. c. RÉPUBLIQUE DE MOLDOVA,CASE OF E.G. v. THE REPUBLIC OF MOLDOVA
001-31038,001-60430,SEGUIN contre la FRANCE,CASE OF SEGUIN v. FRANCE
001-181255,NaN,ADIGÜZEL c. TURQUIE,NaN
001-215182,001-215509,AFFAIRE DĂNOIU ET AUTRES c. ROUMANIE,CASE OF DĂNOIU AND OTHERS v. ROMANIA
001-172365,001-204749,AFFAIRE CHOWDURY ET AUTRES c. GRÈCE,CASE OF CHOWDURY AND OTHERS AGAINST GREECE
001-160742,NaN,LAZARIDIS c. GRÈCE,NaN
001-108003,NaN,V.F. c. FRANCE,NaN
001-145085,NaN,J.A. c. FRANCE,NaN
001-194441,001-207202,AFFAIRE T.I. ET AUTRES c. GRÈCE,CASE OF L.E. AGAINST GREECE AND 1 OTHER CASE
001-160218,001-207202,AFFAIRE L.E. c. GRÈCE,CASE OF L.E. AGAINST GREECE AND 1 OTHER CASE
001-208880,001-209243,AFFAIRE A.I. c. ITALIE,CASE OF A.I. v. ITALY
001-207811,001-208052,AFFAIRE N.Ç. c. TURQUIE,CASE OF N.Ç. v. TURKEY
001-27949,NaN,X. contre la BELGIQUE,NaN
001-66036,001-61479,AFFAIRE SHAMSA c. POLOGNE,CASE OF SHAMSA v. POLAND
001-44963,001-70615,MOGOS contre la ROUMANIE,CASE OF MOGOS v. ROMANIA
001-161957,001-162013,AFFAIRE CAZAN c. ROUMANIE,CASE OF CAZAN v. ROMANIA
001-230733,001-231128,AFFAIRE AURAY ET AUTRES c. FRANCE,CASE OF AURAY AND OTHERS v. FRANCE
001-65362,001-96973,AFFAIRE LAVENTS c. LETTONIE,CASE OF LAVENTS AND JURJEVS AGAINST LATVIA
001-180319,001-180517,AFFAIRE J.R. ET AUTRES c. GRÈCE,CASE OF J.R. AND OTHERS v. GREECE
001-210026,001-217565,TERHEŞ c. ROUMANIE,TERHEŞ v. ROMANIA
001-204849,001-205183,AFFAIRE I.S. c. SUISSE,CASE OF I.S. v. SWITZERLAND
001-182232,001-182548,AFFAIRE PACI c. BELGIQUE,CASE OF PACI v. BELGIUM
001-182231,001-182591,AFFAIRE PIROZZI c. BELGIQUE,CASE OF PIROZZI v. BELGIUM
001-65961,001-61403,AFFAIRE MINJAT c. SUISSE,CASE OF MINJAT v. SWITZERLAND
001-85346,001-155319,AFFAIRE MARTURANA c. ITALIE,CASE OF MARTURANA AGAINST ITALY
001-27875,NaN,X. contre la REPUBLIQUE FEDERALE D'ALLEMAGNE,NaN
001-68623,001-71705,AFFAIRE EPPLE c. ALLEMAGNE,CASE OF EPPLE v. GERMANY
001-62670,001-58108,AFFAIRE ERDAGÖZ c. TURQUIE,CASE OF ERDAGÖZ v. TURKEY
001-183541,001-183936,AFFAIRE FERNANDES PEDROSO c. PORTUGAL,CASE OF FERNANDES PEDROSO v. PORTUGAL
001-211233,001-211444,AFFAIRE AKGÜN c. TURQUIE,CASE OF AKGÜN v. TURKEY
001-203852,001-210931,AFFAIRE RAGIP ZARAKOLU c. TURQUIE,CASE OF ÖNER AND TÜRK AGAINST TURKEY AND 21 OTHER CASES
001-225310,001-225597,AFFAIRE KARACA c. TÜRKİYE,CASE OF KARACA v. TÜRKİYE
001-208856,NaN,YAYGIN c. TURQUIE,NaN
001-206356,001-215414,AFFAIRE D.K. c. BULGARIE,CASE OF I.P. AGAINST BULGARIA AND 1 OTHER CASE
001-208884,001-209124,AFFAIRE D.C. c. BELGIQUE,CASE OF D.C. v. BELGIUM
001-179883,001-180025,AFFAIRE KADUSIC c. SUISSE,CASE OF KADUSIC v. SWITZERLAND
001-215359,001-203951,AFFAIRE SY c. ITALIE,SY v. ITALY
001-172464,001-172844,AFFAIRE THIMOTHAWES c. BELGIQUE,CASE OF THIMOTHAWES v. BELGIUM
001-167495,001-186222,AFFAIRE MIESSEN c. BELGIQUE,CASE OF MIESSEN AGAINST BELGIUM AND 1 OTHER CASE
001-179851,001-180222,AFFAIRE CIPOLLETTA c. ITALIE,CASE OF CIPOLLETTA v. ITALY
001-68198,NaN,ASTIKOS OIKODOMIKOS SYNETAIRISMOS NEA KONSTANTINOUPOLIS c. GRECE,NaN
001-146537,NaN,ARVANITAKIS ET AUTRES c. GRÈCE,NaN
001-141429,NaN,STAVROULAKIS c. GRÈCE,NaN
001-76707,NaN,SDRUŽENÍ JIHOČESKÉ MATKY c. REPUBLIQUE TCHEQUE,NaN
001-102347,NaN,ZAPLETAL c. REPUBLIQUE TCHEQUE,NaN
001-183860,001-184293,AFFAIRE BURSA BAROSU BAŞKANLIĞI ET AUTRES c. TURQUIE,CASE OF BURSA BAROSU BAŞKANLIĞI AND OTHERS v. TURKEY
001-200350,001-200474,AFFAIRE X ET AUTRES c. RUSSIE,CASE OF X AND OTHERS v. RUSSIA
001-139793,001-122255,STICHTING MOTHERS OF SREBRENICA ET AUTRES c. PAYS-BAS [Extraits],STICHTING MOTHERS OF SREBRENICA AND OTHERS v. THE NETHERLANDS
001-73354,001-81006,COLLECTIF NATIONAL D'INFORMATION ET D'OPPOSITION A L'USINE MELOX - COLLECTIF STOP MELOX ET MOX c. FRANCE,CASE OF COLLECTIF NATIONAL D'INFORMATION ET D'OPPOSITION A L'USINE MELOX - COLLECTIF STOP MELOX ET MOX v. FRANCE
001-210768,001-211057,AFFAIRE ASSOCIATION BURESTOP 55 ET AUTRES c. FRANCE,CASE OF ASSOCIATION BURESTOP 55 AND OTHERS v. FRANCE
001-78483,NaN,BOUILLOC c. FRANCE,NaN
001-186434,001-203325,AFFAIRE MUTU ET PECHSTEIN c. SUISSE,CASE OF MUTU AND PECHSTEIN AGAINST SWITZERLAND
001-217615,001-217931,AFFAIRE XAVIER LUCAS c. FRANCE,CASE OF XAVIER LUCAS v. FRANCE
001-193088,001-213837,AFFAIRE SINE TSAGGARAKIS A.E.E. c. GRÈCE,CASE OF SINE TSAGGARAKIS A.E.E. AGAINST GREECE
001-201527,001-201799,AFFAIRE PELEKI c. GRÈCE,CASE OF PELEKI v. GREECE
001-223534,NaN,THIERRY c. FRANCE,NaN
001-209956,001-210176,AFFAIRE SEDAT DOĞAN c. TURQUIE,CASE OF SEDAT DOĞAN v. TURKEY
001-209957,001-210177,AFFAIRE NAKİ ET AMED SPORTİF FAALİYETLER KULÜBÜ DERNEĞİ c. TURQUIE,CASE OF NAKİ ET AMED SPORTİF FAALİYETLER KULÜBÜ DERNEĞİ v. TURKEY
001-110372,NaN,ETERNIT c. FRANCE,NaN
001-157348,001-157391,AFFAIRE TSANOVA-GECHEVA c. BULGARIE,CASE OF TSANOVA-GECHEVA v. BULGARIA
001-92803,NaN,TOSTI c. ITALIE,NaN
001-204827,001-205668,AFFAIRE CAMELIA BOGDAN c. ROUMANIE,CASE OF CAMELIA BOGDAN v. ROMANIA
001-122174,001-122691,AFFAIRE DI GIOVANNI c. ITALIE,CASE OF DI GIOVANNI v. ITALY
001-114986,001-114666,AFFAIRE HARABIN c. SLOVAQUIE,CASE OF HARABIN v. SLOVAKIA
001-210693,001-211041,AFFAIRE BRODA ET BOJARA c. POLOGNE,CASE OF BRODA AND BOJARA v. POLAND
001-93274,001-93288,AFFAIRE FIUME c. ITALIE,CASE OF FIUME v. ITALY
001-105739,001-105707,AFFAIRE MAJSKI c. CROATIE (No.2),CASE OF MAJSKI v. CROATIA (No.2)
001-83412,001-116486,AFFAIRE NEDELTCHO POPOV c. BULGARIE,CASE OF NEDELCHO POPOV AGAINST BULGARIA
001-98314,NaN,MIHOVA c. ITALIE,NaN
001-179224,001-222186,AFFAIRE ARNOLDI c. ITALIE,CASE OF ARNOLDI AGAINST ITALY
001-114664,001-164148,AFFAIRE ALEXANDRE c. PORTUGAL,CASE OF OLIVEIRA MODESTO AND OTHERS AND 48 OTHER CASES AGAINST PORTUGAL
001-103103,NaN,SAKELLAROPOULOS c. GRECE,NaN
001-172782,001-192957,AFFAIRE LOVRIĆ c. CROATIE,CASE OF LOVRIĆ AGAINST CROATIA
001-171325,001-184019,AFFAIRE SELMANI ET AUTRES c. « L'EX-RÉPUBLIQUE YOUGOSLAVE DE MACÉDOINE »,"CASE OF SELMANI AND OTHERS AGAINST ""THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA"""
001-31548,001-60936,REFAH PARTISI (PARTI DE PROSPERITE) ET AUTRES contre la TURQUIE,CASE OF REFAH PARTISI (THE WELFARE PARTY) AND OTHERS v. TURKEY
001-188356,001-201356,CĂTĂNICIU c. ROUMANIE,CĂTĂNICIU v. ROMANIA
001-148030,NaN,DURISOTTO c. ITALIE,NaN
001-211364,001-211457,AFFAIRE LOQUIFER c. BELGIQUE,CASE OF LOQUIFER v. BELGIUM
001-163425,001-141644,AFFAIRE AVOTIŅŠ c. LETTONIE,CASE OF AVOTIŅŠ v. LATVIA
001-152332,001-216301,AFFAIRE BOCHAN c. UKRAINE (N° 2),CASE OF BOCHAN AGAINST UKRAINE (No. 2) AND 2 OTHER CASES
001-43404,NaN,PENAFIEL SALGADO contre l'ESPAGNE,NaN
001-225884,001-226093,AFFAIRE CAMARA c. BELGIQUE,CASE OF CAMARA v. BELGIUM
001-97520,NaN,DALEA c. FRANCE,NaN
001-84168,NaN,APAY c. TURQUIE,NaN
001-209997,001-210175,AFFAIRE MANZANO DIAZ c. BELGIQUE,CASE OF MANZANO DIAZ v. BELGIUM
001-173364,001-186246,AFFAIRE SCHMIDT c. LETTONIE,CASE OF SCHMIDT AGAINST LATVIA
001-78971,001-103861,AFFAIRE GOROU c. GRECE (N° 4),CASE OF GOROU AGAINST GREECE (N° 4)
001-215474,001-215757,AFFAIRE PLAZZI c. SUISSE,CASE OF PLAZZI v. SWITZERLAND
001-215473,001-215756,AFFAIRE ROTH c. SUISSE,CASE OF ROTH v. SWITZERLAND
001-218143,001-225482,AFFAIRE PAPARRIGOPOULOS c. GRÈCE,CASE OF ANAGNOSTAKIS AND OTHERS AGAINST GREECE AND 1 OTHER CASE
001-205267,NaN,TARATUKHIN c. RUSSIE,NaN
001-225213,001-225464,AFFAIRE SPERISEN c. SUISSE,CASE OF SPERISEN v. SWITZERLAND
001-140919,001-150270,AFFAIRE BATMAZ c. TURQUIE,CASE OF ORMANCI AND OTHERS AND 281 OTHER CASES AGAINST TURKEY
001-224779,001-225070,AFFAIRE PANJU c. BELGIQUE (N° 2),CASE OF PANJU v. BELGIUM (No. 2)
001-168763,001-183149,AFFAIRE KERMAN c. TURQUIE,CASE OF KERMAN AGAINST TURKEY
001-197205,NaN,CARREFOUR FRANCE c. FRANCE,NaN
001-208757,001-209066,AFFAIRE DI MARTINO ET MOLINARI c. ITALIE,CASE OF DI MARTINO AND MOLINARI v. ITALY
001-100969,001-101148,AFFAIRE BRUSCO c. FRANCE,CASE OF BRUSCO v. FRANCE
001-155189,001-155630,AFFAIRE SCHMID-LAFFER c. SUISSE,CASE OF SCHMID-LAFFER v. SWITZERLAND
001-189617,001-189801,AFFAIRE STIRMANOV c. RUSSIE,CASE OF STIRMANOV v. RUSSIA
001-213828,001-213858,AFFAIRE SASSI ET BENCHELLALI c. FRANCE,CASE OF SASSI AND BENCHELLALI v. FRANCE
001-142184,001-142529,AFFAIRE BLAJ c. ROUMANIE,CASE OF BLAJ v. ROMANIA [Extracts]
001-110176,001-110178,AFFAIRE NICOLETA GHEORGHE c. ROUMANIE,CASE OF NICOLETA GHEORGHE v. ROMANIA
001-202866,NaN,"ŞİMŞEK, ANDİÇ ET BOĞATEKİN c. TURQUIE",NaN
001-85343,001-85388,AFFAIRE HÜSEYİN TURAN c. TURQUIE,CASE OF HÜSEYİN TURAN v. TURKEY
001-43961,001-61354,LILLY FRANCE S.A. contre la FRANCE,CASE OF LILLY FRANCE v. FRANCE
001-92990,001-106860,AFFAIRE DUBUS S.A. c. FRANCE,CASES OF DAOUDI AND DUBUS AGAINST FRANCE
001-106438,001-106439,AFFAIRE A. MENARINI DIAGNOSTICS S.R.L. c. ITALIE,CASE OF A. MENARINI DIAGNOSTICS S.R.L. v. ITALY
001-205108,NaN,PRINA c. ROUMANIE,NaN
001-43956,NaN,MONTERA c. ITALIE,NaN
001-210749,NaN,GALAN c. ITALIE,NaN
001-96240,001-96291,AFFAIRE GURGUCHIANI c. ESPAGNE,CASE OF GURGUCHIANI v. SPAIN
001-96605,001-96606,AFFAIRE VERA FERNANDEZ-HUIDOBRO c. ESPAGNE,CASE OF VERA FERNANDEZ-HUIDOBRO v. SPAIN
001-225226,001-225515,AFFAIRE ROCCELLA c. ITALIE,CASE OF ROCCELLA v. ITALY
001-80959,001-104414,AFFAIRE NOURMAGOMEDOV c. RUSSIE,CASE OF NURMAGOMEDOV AGAINST THE RUSSIAN FEDERATION
001-44221,001-24029,MONTCORNET DE CAUMONT contre la FRANCE,MONTCORNET DE CAUMONT v. FRANCE
001-211581,001-224911,AFFAIRE ÜÇDAĞ c. TURQUIE,CASE OF ÜÇDAĞ AGAINST TURKEY
001-99978,NaN,ÖCALAN c. TURQUIE,NaN
001-212030,001-212022,AFFAIRE WILLEMS ET GORJON c. BELGIQUE,CASE OF WILLEMS AND GORJON v. BELGIUM
001-222792,001-223064,AFFAIRE ROCCHIA c. FRANCE,CASE OF ROCCHIA v. FRANCE
001-165023,001-192966,AFFAIRE REICHMAN c. FRANCE,CASE OF JEAN-JACQUES MOREL AGAINST FRANCE AND 7 OTHER CASES
001-102790,001-215374,AFFAIRE EVAGGELOU c. GRECE,CASE OF EVAGGELOU AGAINST GREECE AND 2 OTHER CASES
001-77010,001-92255,AFFAIRE LABERGERE c. FRANCE,CASE  OF LABERGERE AGAINST FRANCE
001-109383,001-109384,AFFAIRE JOSSEAUME c. FRANCE,CASE OF JOSSEAUME v. FRANCE
